model_name,model_dir,run_index,run_tag,step,level,prior,beta,snippet_count,total_runs,exact_matches,mismatches,struct_acc,baseline_acc,delta_acc_struct
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen_Qwen2.5-Coder-7B-Instruct,1,20260214-182509-step4-l2-slice-b1p0,step4,l2,slice,1.0,32,1600,285,1315,0.178125,0.195443,-0.017318
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen_Qwen2.5-Coder-7B-Instruct,2,20260214-182509-step4-l2-slice-b0p5,step4,l2,slice,0.5,32,1600,332,1268,0.207500,0.195443,0.012057
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen_Qwen2.5-Coder-7B-Instruct,3,20260214-182509-step4-l2-slice-b0p3,step4,l2,slice,0.3,32,1600,299,1301,0.186875,0.195443,-0.008568
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen_Qwen2.5-Coder-7B-Instruct,4,20260214-182509-step4-l2-slice-b0p1,step4,l2,slice,0.1,32,1600,319,1281,0.199375,0.195443,0.003932
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen_Qwen2.5-Coder-7B-Instruct,5,20260214-182446-step4-l2-cfg-b1p0,step4,l2,cfg,1.0,32,1600,324,1276,0.202500,0.195443,0.007057
