model_label,model,dataset,completed_units,prompt_p1,prompt_p2,prompt_p3,prompt_rr1,prompt_rr2,prompt_rr3,cases_p1,cases_p2,cases_p3
Qwen_Qwen2.5-Coder-7B-Instruct,Qwen2.5-7B,humaneval,608,72.99,81.74,85.74,71.97,52.18,48.51,4606,4606,4606
deepseek-ai_deepseek-coder-6.7b-base,DeepSeek-6.7B,humaneval,608,65.91,84.52,90.08,-25.14,90.62,186.95,4606,4606,4606
Qwen_Qwen2.5-14B,Qwen2.5-14B,humaneval,608,86.82,93.66,96.29,16.22,14.41,30.16,4606,4606,4606
Qwen_Qwen2.5-14B,Qwen2.5-14B,cruxeval,2787,89.42,96.25,98.15,51.86,62.15,87.11,5574,5574,5574
deepseek-ai_DeepSeek-V2-Lite,DeepSeek-V2-Lite,humaneval,608,68.00,82.35,88.19,-120.25,-198.82,-112.69,4606,4606,4606
deepseek-ai_DeepSeek-V2-Lite,DeepSeek-V2-Lite,cruxeval,2787,79.66,93.79,97.42,-13.92,53.63,112.06,5574,5574,5574
